Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Writing  10 times.""",CRITICAL,22min,Key: AYfl9ri9d9SEFTPV557A Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CpBands.java - startLine: 392;startOffset: 25;endOffset: 35;endLine: 392,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 33 to the 15 allowed.""",CRITICAL,23min,Key: AYfl9rUZd9SEFTPV55sL Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java - startLine: 739;startOffset: 17;endOffset: 35;endLine: 739,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.""",CRITICAL,24min,Key: AYfl9rkhd9SEFTPV55-Y Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 252;startOffset: 13;endOffset: 26;endLine: 252,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 36 to the 15 allowed.""",CRITICAL,26min,Key: AYfl9rnDd9SEFTPV56BK Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1454;startOffset: 17;endOffset: 35;endLine: 1454,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 37 to the 15 allowed.""",CRITICAL,27min,Key: AYfl9ri9d9SEFTPV557Y Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CpBands.java - startLine: 287;startOffset: 23;endOffset: 37;endLine: 287,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 37 to the 15 allowed.""",CRITICAL,27min,Key: AYfl9rjvd9SEFTPV558c Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/RunCodec.java - startLine: 115;startOffset: 17;endOffset: 26;endLine: 115,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 38 to the 15 allowed.""",CRITICAL,28min,Key: AYfl9rTRd9SEFTPV55qf Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java - startLine: 607;startOffset: 17;endOffset: 34;endLine: 607,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 38 to the 15 allowed.""",CRITICAL,28min,Key: AYfl9rT3d9SEFTPV55rS Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 478;startOffset: 15;endOffset: 27;endLine: 478,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""",CRITICAL,30min,Key: AYfl9rkzd9SEFTPV55-9 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BandSet.java - startLine: 353;startOffset: 18;endOffset: 31;endLine: 353,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""",CRITICAL,30min,Key: AYfl9rgYd9SEFTPV552S Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/Archive.java - startLine: 137;startOffset: 16;endOffset: 22;endLine: 137,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 41 to the 15 allowed.""",CRITICAL,31min,Key: AYfl9rT3d9SEFTPV55rW Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 617;startOffset: 17;endOffset: 27;endLine: 617,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 41 to the 15 allowed.""",CRITICAL,31min,Key: AYfl9rTRd9SEFTPV55qm Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java - startLine: 832;startOffset: 16;endOffset: 30;endLine: 832,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 43 to the 15 allowed.""",CRITICAL,33min,Key: AYfl9rkzd9SEFTPV55_G Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BandSet.java - startLine: 511;startOffset: 17;endOffset: 42;endLine: 511,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 45 to the 15 allowed.""",CRITICAL,35min,Key: AYfl9rUZd9SEFTPV55sH Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java - startLine: 374;startOffset: 17;endOffset: 40;endLine: 374,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 46 to the 15 allowed.""",CRITICAL,36min,Key: AYfl9rfQd9SEFTPV55zv Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/BcBands.java - startLine: 180;startOffset: 16;endOffset: 20;endLine: 180,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 47 to the 15 allowed.""",CRITICAL,37min,Key: AYfl9rT3d9SEFTPV55rQ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 299;startOffset: 17;endOffset: 31;endLine: 299,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 48 to the 15 allowed.""",CRITICAL,38min,Key: AYfl9rgRd9SEFTPV552H Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/Segment.java - startLine: 110;startOffset: 22;endOffset: 36;endLine: 110,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal  bytes from  18 times.""",CRITICAL,38min,Key: AYfl9ried9SEFTPV5557 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/MetadataBandGroup.java - startLine: 275;startOffset: 69;endOffset: 83;endLine: 275,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  18 times.""",CRITICAL,38min,Key: AYfl9ried9SEFTPV5558 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/MetadataBandGroup.java - startLine: 275;startOffset: 37;endOffset: 45;endLine: 275,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 48 to the 15 allowed.""",CRITICAL,38min,Key: AYfl9rggd9SEFTPV5520 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 785;startOffset: 17;endOffset: 36;endLine: 785,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  19 times.""",CRITICAL,40min,Key: AYfl9ri9d9SEFTPV556_ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CpBands.java - startLine: 401;startOffset: 25;endOffset: 33;endLine: 401,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 52 to the 15 allowed.""",CRITICAL,42min,Key: AYfl9rfQd9SEFTPV55zx Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/BcBands.java - startLine: 431;startOffset: 16;endOffset: 22;endLine: 431,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 52 to the 15 allowed.""",CRITICAL,42min,Key: AYfl9rggd9SEFTPV5527 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 1040;startOffset: 17;endOffset: 37;endLine: 1040,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Wrote  21 times.""",CRITICAL,44min,Key: AYfl9rhGd9SEFTPV553u Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BcBands.java - startLine: 113;startOffset: 25;endOffset: 33;endLine: 113,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 57 to the 15 allowed.""",CRITICAL,47min,Key: AYfl9rnDd9SEFTPV56BQ Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1639;startOffset: 17;endOffset: 37;endLine: 1639,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 57 to the 15 allowed.""",CRITICAL,47min,Key: AYfl9rT3d9SEFTPV55rg Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BlockSort.java - startLine: 908;startOffset: 15;endOffset: 23;endLine: 908,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 59 to the 15 allowed.""",CRITICAL,49min,Key: AYfl9rTRd9SEFTPV55qc Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorOutputStream.java - startLine: 233;startOffset: 24;endOffset: 41;endLine: 233,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 60 to the 15 allowed.""",CRITICAL,50min,Key: AYfl9rnDd9SEFTPV56BE Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1084;startOffset: 17;endOffset: 30;endLine: 1084,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 62 to the 15 allowed.""",CRITICAL,52min,Key: AYfl9rh8d9SEFTPV555n Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/CodecEncoding.java - startLine: 180;startOffset: 24;endOffset: 36;endLine: 180,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 63 to the 15 allowed.""",CRITICAL,53min,Key: AYfl9rkhd9SEFTPV55-f Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/ClassBands.java - startLine: 991;startOffset: 13;endOffset: 31;endLine: 991,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""",CRITICAL,16min,Key: AYfl9rssd9SEFTPV56D9 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/dump/DumpArchiveInputStream.java - startLine: 474;startOffset: 17;endOffset: 35;endLine: 474,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Unknown attribute encountered 7 times.""",CRITICAL,16min,Key: AYfl9rjNd9SEFTPV557j Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/Segment.java - startLine: 263;startOffset: 36;endOffset: 67;endLine: 263,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""",CRITICAL,16min,Key: AYfl9rhGd9SEFTPV5535 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BcBands.java - startLine: 396;startOffset: 16;endOffset: 31;endLine: 396,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""",CRITICAL,16min,Key: AYfl9rkKd9SEFTPV559e Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/PopulationCodec.java - startLine: 61;startOffset: 17;endOffset: 27;endLine: 61,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""",CRITICAL,16min,Key: AYfl9rfCd9SEFTPV55zg Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/BandSet.java - startLine: 66;startOffset: 17;endOffset: 30;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.""",CRITICAL,16min,Key: AYfl9rYvd9SEFTPV55tE Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java - startLine: 552;startOffset: 33;endOffset: 60;endLine: 552,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.""",CRITICAL,17min,Key: AYfl9rkzd9SEFTPV55-5 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BandSet.java - startLine: 202;startOffset: 32;endOffset: 43;endLine: 202,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.""",CRITICAL,17min,Key: AYfl9rggd9SEFTPV552w Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/ClassBands.java - startLine: 592;startOffset: 17;endOffset: 35;endLine: 592,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.""",CRITICAL,17min,Key: AYfl9rssd9SEFTPV56D7 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/dump/DumpArchiveInputStream.java - startLine: 204;startOffset: 28;endOffset: 40;endLine: 204,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.""",CRITICAL,18min,Key: AYfl9rnDd9SEFTPV56BR Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java - startLine: 1765;startOffset: 16;endOffset: 33;endLine: 1765,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.""",CRITICAL,18min,Key: AYfl9rf2d9SEFTPV551Q Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/unpack200/NewAttributeBands.java - startLine: 446;startOffset: 20;endOffset: 34;endLine: 446,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.""",CRITICAL,18min,Key: AYfl9rznd9SEFTPV56GE Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/changes/ChangeSetPerformer.java - startLine: 177;startOffset: 29;endOffset: 36;endLine: 177,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.""",CRITICAL,19min,Key: AYfl9rrId9SEFTPV56Cn Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java - startLine: 729;startOffset: 27;endOffset: 42;endLine: 729,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.""",CRITICAL,19min,Key: AYfl9rkzd9SEFTPV55-4 Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/harmony/pack200/BandSet.java - startLine: 81;startOffset: 15;endOffset: 23;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.""",CRITICAL,19min,Key: AYfl9rUod9SEFTPV55sO Path: org.apache.commons_commons-compress:src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorInputStream.java - startLine: 323;startOffset: 15;endOffset: 19;endLine: 323,Maintenance (Code Smells)
